Root Superpathway	Gene Identifier	Log fold difference	Pointwise Relative Entropy
Deadenylation-dependent mRNA decay	EXOSC7	0.056280147	-0.000825288
Deadenylation-dependent mRNA decay	GIGYF2	0.067217848	-0.000825288
Deadenylation-dependent mRNA decay	HELZ	0.09504382	-0.000825288
Deadenylation-dependent mRNA decay	LSM14A	0.085754168	-0.000825288
Deadenylation-dependent mRNA decay	LSM3	0.055811009	-0.000825288
Deadenylation-dependent mRNA decay	LSM5	0.088382236	-0.000825288
Deadenylation-dependent mRNA decay	LSM6	0.075365181	-0.000825288
Deadenylation-dependent mRNA decay	LSM7	0.073539654	-0.000825288
Deadenylation-dependent mRNA decay	LSM8	0.091680397	-0.000825288
Deadenylation-dependent mRNA decay	MREG	0.148055764	-0.000825288
Deadenylation-dependent mRNA decay	NAA38	0.087941773	-0.000825288
Deadenylation-dependent mRNA decay	NAXE	0.055621755	-0.000825288
Deadenylation-dependent mRNA decay	NOL7	0.060968288	-0.000825288
Deadenylation-dependent mRNA decay	NSUN5	0.062029338	-0.000825288
Deadenylation-dependent mRNA decay	PAIP2	0.091279318	-0.000825288
Deadenylation-dependent mRNA decay	PAN3	0.05870378	-0.000825288
Deadenylation-dependent mRNA decay	PARN	0.07363306	-0.000825288
Deadenylation-dependent mRNA decay	PDCD4	0.121082711	-0.000825288
Deadenylation-dependent mRNA decay	PHF11	0.0854833	-0.000825288
Deadenylation-dependent mRNA decay	PKN2	0.09661686	-0.000825288
Deadenylation-dependent mRNA decay	PNRC2	0.084721803	-0.000825288
Deadenylation-dependent mRNA decay	RAMAC	0.053444347	-0.000825288
Deadenylation-dependent mRNA decay	RSRC1	0.054627357	-0.000825288
Deadenylation-dependent mRNA decay	TENT2	0.094577159	-0.000825288
Deadenylation-dependent mRNA decay	USP4	0.058097442	-0.000825288
Deadenylation-dependent mRNA decay	WDR44	0.062537652	-0.000825288
Translation	LDHB	0.117876502	-0.001041382
Translation	EIF4A1	0.08101283	-0.001041382
Translation	EIF4A2	0.08451825	-0.001041382
Translation	EIF4B	0.095957293	-0.001041382
Translation	EIF4E	0.051451052	-0.001041382
Translation	EIF4G1	0.072592882	-0.001041382
Translation	LSM6	0.075365181	-0.001041382
Translation	LSM8	0.091680397	-0.001041382
Translation	NAA38	0.087941773	-0.001041382
Translation	NAXE	0.055621755	-0.001041382
Translation	RSRC1	0.054627357	-0.001041382
Translation	WDR44	0.062537652	-0.001041382
Translation	ACBD6	0.079677598	-0.001041382
Translation	MAP3K14	0.121073937	-0.001041382
Translation	PGK1	0.08252467	-0.001041382
Translation	PGLS	0.107456349	-0.001041382
Translation	PCLAF	0.053746629	-0.001041382
Translation	SERBP1	0.100774529	-0.001041382
Translation	SSR2	0.087204404	-0.001041382
Translation	IMPDH2	0.093730042	-0.001041382
Translation	C1QBP	0.098332656	-0.001041382
Translation	PMPCB	0.089419747	-0.001041382
Translation	ETF1	0.071177795	-0.001041382
Translation	GSPT1	0.093891126	-0.001041382
Translation	RPL23	0.093566887	-0.001041382
Translation	RPL26L1	0.059919959	-0.001041382
Translation	SEC11A	0.094026528	-0.001041382
Translation	EIF2A	0.089312165	-0.001041382
Translation	ESR2	0.070751104	-0.001041382
Translation	GFPT1	0.076483962	-0.001041382
Translation	LRRK2	0.141079259	-0.001041382
Translation	RAB5A	0.056770182	-0.001041382
Translation	UBB	0.090196493	-0.001041382
Translation	UBC	0.087137658	-0.001041382
Translation	FRG1	0.061826293	-0.001041382
Translation	RPL7L1	0.052913264	-0.001041382
Translation	SF3B5	0.105826836	-0.001041382
Translation	YBX3	0.072573896	-0.001041382
Translation	IGBP1	0.101945584	-0.001041382
Translation	TUBA1C	0.072511499	-0.001041382
Translation	FBL	0.085996273	-0.001041382
Translation	RSL1D1	0.100669276	-0.001041382
Translation	TFAM	0.068154614	-0.001041382
Translation	ATP5MC2	0.082207781	-0.001041382
Translation	EIF3K	0.119116505	-0.001041382
Translation	EMC4	0.061828288	-0.001041382
Translation	NDUFB9	0.101580248	-0.001041382
Translation	ABCE1	0.052951041	-0.001041382
Translation	ACTG1	0.0503458	-0.001041382
Translation	ADSL	0.069858504	-0.001041382
Translation	ANP32B	0.100912067	-0.001041382
Translation	ARIH2	0.057675022	-0.001041382
Translation	ATF4	0.065531373	-0.001041382
Translation	ATF5	0.09027914	-0.001041382
Translation	BTF3	0.076666234	-0.001041382
Translation	CALM2	0.078028355	-0.001041382
Translation	CAMLG	0.098207524	-0.001041382
Translation	CCNB1IP1	0.079838196	-0.001041382
Translation	CCNI	0.144724852	-0.001041382
Translation	CFL1	0.062881056	-0.001041382
Translation	CNPY2	0.097117425	-0.001041382
Translation	CYLD	0.117615658	-0.001041382
Translation	DDIT3	0.062030774	-0.001041382
Translation	DENR	0.094788799	-0.001041382
Translation	DHX29	0.051482012	-0.001041382
Translation	DNTTIP1	0.05878591	-0.001041382
Translation	DUSP5	0.079851102	-0.001041382
Translation	EDF1	0.092007002	-0.001041382
Translation	EEF2	0.083432201	-0.001041382
Translation	EIF1AX	0.069404773	-0.001041382
Translation	EIF1B	0.065840171	-0.001041382
Translation	EIF2AK4	0.098059987	-0.001041382
Translation	EIF2D	0.077091702	-0.001041382
Translation	EIF2S1	0.068680521	-0.001041382
Translation	EIF2S2	0.076599098	-0.001041382
Translation	EIF2S3	0.082975062	-0.001041382
Translation	EIF3A	0.110313952	-0.001041382
Translation	EIF3B	0.084827214	-0.001041382
Translation	EIF3D	0.098381907	-0.001041382
Translation	EIF3E	0.089138775	-0.001041382
Translation	EIF3F	0.106976975	-0.001041382
Translation	EIF3G	0.095799791	-0.001041382
Translation	EIF3H	0.077277644	-0.001041382
Translation	EIF3I	0.083665511	-0.001041382
Translation	EIF3J	0.051550604	-0.001041382
Translation	EIF3L	0.09944224	-0.001041382
Translation	EIF3M	0.099744305	-0.001041382
Translation	EIF5	0.118721687	-0.001041382
Translation	ERAL1	0.088679052	-0.001041382
Translation	ERGIC3	0.102416319	-0.001041382
Translation	ETFA	0.110387332	-0.001041382
Translation	GRSF1	0.115951209	-0.001041382
Translation	HERC2	0.060157537	-0.001041382
Translation	HMGN2	0.058515015	-0.001041382
Translation	HSD17B10	0.070035051	-0.001041382
Translation	HSPA9	0.066805941	-0.001041382
Translation	LAMTOR5	0.125230352	-0.001041382
Translation	LETMD1	0.063488609	-0.001041382
Translation	LRPPRC	0.098452624	-0.001041382
Translation	LTA4H	0.103958328	-0.001041382
Translation	MCTS1	0.050860169	-0.001041382
Translation	MRPL3	0.059493426	-0.001041382
Translation	MYL6B	0.063858273	-0.001041382
Translation	NAP1L1	0.126959305	-0.001041382
Translation	NOB1	0.082733157	-0.001041382
Translation	OAS3	0.022762079	-0.001041382
Translation	OXA1L	0.112400762	-0.001041382
Translation	PA2G4	0.075704214	-0.001041382
Translation	PEBP1	0.144957527	-0.001041382
Translation	POLR1D	0.130809647	-0.001041382
Translation	RPS10	0.064368526	-0.001041382
Translation	RPS20	0.107097603	-0.001041382
Translation	RPS27L	0.128918165	-0.001041382
Translation	SDCBP	0.059497856	-0.001041382
Translation	SHMT2	0.08792084	-0.001041382
Translation	SLC25A3	0.090265904	-0.001041382
Translation	SLC25A6	0.093545375	-0.001041382
Translation	SLIRP	0.105458631	-0.001041382
Translation	SND1	0.098216116	-0.001041382
Translation	SOD2	0.046394787	-0.001041382
Translation	TLK1	0.096584276	-0.001041382
Translation	TRIM25	0.026343675	-0.001041382
Translation	TXNRD1	0.07051216	-0.001041382
Translation	USP3	0.074855739	-0.001041382
Translation	VRK1	0.052198947	-0.001041382
Translation	YWHAH	0.11737514	-0.001041382
Translation	ZNF22	0.060453306	-0.001041382
Translation	ZNF277	0.065262385	-0.001041382
Translation	ZNF581	0.099107434	-0.001041382
Nonsense-Mediated Decay (NMD)	PAIP2	0.091279318	-0.001507523
Nonsense-Mediated Decay (NMD)	PAN3	0.05870378	-0.001507523
Nonsense-Mediated Decay (NMD)	PPP1CC	0.079082511	-0.001507523
Nonsense-Mediated Decay (NMD)	ADAR	0.081494286	-0.001507523
Nonsense-Mediated Decay (NMD)	CHD3	0.071237275	-0.001507523
Nonsense-Mediated Decay (NMD)	CUL1	0.07502867	-0.001507523
Nonsense-Mediated Decay (NMD)	EIF4A3	0.082224737	-0.001507523
Nonsense-Mediated Decay (NMD)	ETF1	0.071177795	-0.001507523
Nonsense-Mediated Decay (NMD)	GSPT1	0.093891126	-0.001507523
Nonsense-Mediated Decay (NMD)	HNRNPM	0.087654205	-0.001507523
Nonsense-Mediated Decay (NMD)	HNRNPU	0.078993833	-0.001507523
Nonsense-Mediated Decay (NMD)	ILF2	0.101161228	-0.001507523
Nonsense-Mediated Decay (NMD)	ILF3	0.077640767	-0.001507523
Nonsense-Mediated Decay (NMD)	ISY1	0.057113139	-0.001507523
Nonsense-Mediated Decay (NMD)	MAGOH	0.063731165	-0.001507523
Nonsense-Mediated Decay (NMD)	NFX1	0.063798443	-0.001507523
Nonsense-Mediated Decay (NMD)	PCBP1	0.120868843	-0.001507523
Nonsense-Mediated Decay (NMD)	PNN	0.068526344	-0.001507523
Nonsense-Mediated Decay (NMD)	RPL23	0.093566887	-0.001507523
Nonsense-Mediated Decay (NMD)	RPL26L1	0.059919959	-0.001507523
Nonsense-Mediated Decay (NMD)	SLBP	0.051614328	-0.001507523
Nonsense-Mediated Decay (NMD)	SMG1	0.076708015	-0.001507523
Nonsense-Mediated Decay (NMD)	SNRNP70	0.063268197	-0.001507523
Nonsense-Mediated Decay (NMD)	SNU13	0.08275616	-0.001507523
Nonsense-Mediated Decay (NMD)	SPAG9	0.051030244	-0.001507523
Nonsense-Mediated Decay (NMD)	ST13	0.125369152	-0.001507523
Nonsense-Mediated Decay (NMD)	WWP2	0.052379205	-0.001507523
Regulation of mRNA stability by proteins that bind AU-rich elements	DIS3	0.055540443	-0.00166619
Regulation of mRNA stability by proteins that bind AU-rich elements	EXOSC7	0.056280147	-0.00166619
Regulation of mRNA stability by proteins that bind AU-rich elements	LSM3	0.055811009	-0.00166619
Regulation of mRNA stability by proteins that bind AU-rich elements	LSM5	0.088382236	-0.00166619
Regulation of mRNA stability by proteins that bind AU-rich elements	LSM7	0.073539654	-0.00166619
Regulation of mRNA stability by proteins that bind AU-rich elements	NOL7	0.060968288	-0.00166619
Metabolism of vitamins and cofactors	ABHD17A	0.052967144	-0.001724445
Metabolism of vitamins and cofactors	C1QBP	0.098332656	-0.001724445
Metabolism of vitamins and cofactors	CHD6	0.095202916	-0.001724445
Metabolism of vitamins and cofactors	COX6A1	0.101041074	-0.001724445
Metabolism of vitamins and cofactors	KYNU	0.077725377	-0.001724445
Metabolism of vitamins and cofactors	MYCBP2	0.100054978	-0.001724445
Metabolism of vitamins and cofactors	PMPCB	0.089419747	-0.001724445
Metabolism of vitamins and cofactors	SERPINB9	0.093993147	-0.001724445
Metabolism of vitamins and cofactors	SFI1	0.058842036	-0.001724445
Metabolism of vitamins and cofactors	SMS	0.128923161	-0.001724445
Integration of energy metabolism	CXCR5	0.055216487	-0.001863875
Integration of energy metabolism	GNA13	0.062795172	-0.001863875
Integration of energy metabolism	PLEK	0.124558744	-0.001863875
Integration of energy metabolism	TFEB	0.126042176	-0.001863875
Metabolism of amino acids and derivatives	BNIP2	0.084145141	-0.00199373
Metabolism of amino acids and derivatives	PCBD1	0.06967686	-0.00199373
Metabolism of amino acids and derivatives	PICALM	0.09364837	-0.00199373
rRNA processing	DIS3	0.055540443	-0.003620125
rRNA processing	EXOSC7	0.056280147	-0.003620125
rRNA processing	LSM7	0.073539654	-0.003620125
rRNA processing	PPP1CA	0.100733628	-0.003620125
rRNA processing	SNRPD1	0.076610104	-0.003620125
rRNA processing	SNU13	0.08275616	-0.003620125
rRNA processing	PRMT1	0.062094592	-0.003620125
rRNA processing	SYNCRIP	0.077415323	-0.003620125
rRNA processing	BANF1	0.073475695	-0.003620125
rRNA processing	CEBPZ	0.055508003	-0.003620125
rRNA processing	DDX18	0.05503737	-0.003620125
rRNA processing	EIF4EBP1	0.061969646	-0.003620125
rRNA processing	FBL	0.085996273	-0.003620125
rRNA processing	POLD2	0.061586135	-0.003620125
rRNA processing	PSMD3	0.050968776	-0.003620125
rRNA processing	RSL1D1	0.100669276	-0.003620125
rRNA processing	TFAM	0.068154614	-0.003620125
rRNA processing	TRAP1	0.054935982	-0.003620125
rRNA processing	UTP6	0.09261681	-0.003620125
Biological oxidations	ACYP2	0.075233093	-0.004383839
Biological oxidations	CBR1	0.082284736	-0.004383839
Biological oxidations	HIF1A	0.106877166	-0.004383839
Biological oxidations	LDHB	0.117876502	-0.004383839
Biological oxidations	MRM2	0.060791712	-0.004383839
Biological oxidations	NUP58	0.054774402	-0.004383839
Biological oxidations	SNX10	0.096036768	-0.004383839
Biological oxidations	SSR3	0.072409686	-0.004383839
Biological oxidations	TNFRSF4	0.096372857	-0.004383839
Biological oxidations	TNFRSF9	0.084634362	-0.004383839
Biological oxidations	TNFSF4	0.127730124	-0.004383839
Biological oxidations	ZRANB2	0.059635099	-0.004383839
Post-translational protein modification	CBR1	0.082284736	-0.004734964
Post-translational protein modification	HIF1A	0.106877166	-0.004734964
Post-translational protein modification	SSR3	0.072409686	-0.004734964
Post-translational protein modification	RSRC1	0.054627357	-0.004734964
Post-translational protein modification	PDCD6	0.109044638	-0.004734964
Post-translational protein modification	FDFT1	0.128233368	-0.004734964
Post-translational protein modification	NFAT5	0.066911652	-0.004734964
Post-translational protein modification	SREBF2	0.0962984	-0.004734964
Post-translational protein modification	SSR1	0.065440562	-0.004734964
Post-translational protein modification	TRAM1	0.064403697	-0.004734964
Post-translational protein modification	JUN	0.130527308	-0.004734964
Post-translational protein modification	SRRT	0.052520875	-0.004734964
Post-translational protein modification	CUL1	0.07502867	-0.004734964
Post-translational protein modification	ETF1	0.071177795	-0.004734964
Post-translational protein modification	SNRNP70	0.063268197	-0.004734964
Post-translational protein modification	SPAG9	0.051030244	-0.004734964
Post-translational protein modification	WWP2	0.052379205	-0.004734964
Post-translational protein modification	ANXA4	0.119412687	-0.004734964
Post-translational protein modification	APOBEC3G	0.085803456	-0.004734964
Post-translational protein modification	ARF4	0.058812404	-0.004734964
Post-translational protein modification	ARL6IP5	0.110753661	-0.004734964
Post-translational protein modification	ATF2	0.052909947	-0.004734964
Post-translational protein modification	B3GNT2	0.074862591	-0.004734964
Post-translational protein modification	BABAM1	0.066128833	-0.004734964
Post-translational protein modification	BABAM2	0.062781763	-0.004734964
Post-translational protein modification	BCOR	0.078939403	-0.004734964
Post-translational protein modification	BIRC5	0.057147229	-0.004734964
Post-translational protein modification	BRCC3	0.051945238	-0.004734964
Post-translational protein modification	BST2	0.038839197	-0.004734964
Post-translational protein modification	CANX	0.07041764	-0.004734964
Post-translational protein modification	CARM1	0.05546665	-0.004734964
Post-translational protein modification	CDCA8	0.050062498	-0.004734964
Post-translational protein modification	CDKN1A	0.119102456	-0.004734964
Post-translational protein modification	COP1	0.110801696	-0.004734964
Post-translational protein modification	COPB2	0.068307408	-0.004734964
Post-translational protein modification	CREB1	0.079026094	-0.004734964
Post-translational protein modification	CREBBP	0.050366539	-0.004734964
Post-translational protein modification	CTNNB1	0.077085468	-0.004734964
Post-translational protein modification	CUEDC2	0.089008066	-0.004734964
Post-translational protein modification	CUL2	0.050877892	-0.004734964
Post-translational protein modification	CUL3	0.075892425	-0.004734964
Post-translational protein modification	CUL5	0.065629762	-0.004734964
Post-translational protein modification	DCAF5	0.069284633	-0.004734964
Post-translational protein modification	DCAF6	0.111985328	-0.004734964
Post-translational protein modification	DCAF7	0.090395416	-0.004734964
Post-translational protein modification	DCAF8	0.0761812	-0.004734964
Post-translational protein modification	DDB1	0.060278802	-0.004734964
Post-translational protein modification	DDB2	0.126877981	-0.004734964
Post-translational protein modification	DNAJA1	0.096727491	-0.004734964
Post-translational protein modification	DYRK1A	0.052558487	-0.004734964
Post-translational protein modification	EIF2A	0.089312165	-0.004734964
Post-translational protein modification	ELOB	0.094467023	-0.004734964
Post-translational protein modification	ELOC	0.091552904	-0.004734964
Post-translational protein modification	EP300	0.051449403	-0.004734964
Post-translational protein modification	ERCC6	0.067152472	-0.004734964
Post-translational protein modification	ESR1	0.050386406	-0.004734964
Post-translational protein modification	ESR2	0.070751104	-0.004734964
Post-translational protein modification	ETS1	0.100755697	-0.004734964
Post-translational protein modification	FAF1	0.052215974	-0.004734964
Post-translational protein modification	FBXO11	0.074930881	-0.004734964
Post-translational protein modification	FBXO9	0.061590637	-0.004734964
Post-translational protein modification	FBXW11	0.080704338	-0.004734964
Post-translational protein modification	FKBP8	0.075707319	-0.004734964
Post-translational protein modification	FOXO1	0.100587503	-0.004734964
Post-translational protein modification	GAPVD1	0.074754606	-0.004734964
Post-translational protein modification	GDI2	0.092084991	-0.004734964
Post-translational protein modification	GFPT1	0.076483962	-0.004734964
Post-translational protein modification	GOLGA4	0.077525208	-0.004734964
Post-translational protein modification	GOLGB1	0.120921363	-0.004734964
Post-translational protein modification	GOPC	0.070009515	-0.004734964
Post-translational protein modification	GSK3B	0.117914451	-0.004734964
Post-translational protein modification	HDAC1	0.093281523	-0.004734964
Post-translational protein modification	HDAC3	0.053194233	-0.004734964
Post-translational protein modification	HIPK2	0.054631409	-0.004734964
Post-translational protein modification	HLTF	0.060694874	-0.004734964
Post-translational protein modification	HSP90B1	0.074827187	-0.004734964
Post-translational protein modification	IL16	0.051355876	-0.004734964
Post-translational protein modification	ITCH	0.071848602	-0.004734964
Post-translational protein modification	KDM2B	0.140055644	-0.004734964
Post-translational protein modification	KIF2C	0.056194151	-0.004734964
Post-translational protein modification	KLF6	0.140396157	-0.004734964
Post-translational protein modification	KLHL24	0.100291573	-0.004734964
Post-translational protein modification	KPNA3	0.062804542	-0.004734964
Post-translational protein modification	KPNA4	0.070756892	-0.004734964
Post-translational protein modification	LAT2	0.076075848	-0.004734964
Post-translational protein modification	LMAN1	0.072801223	-0.004734964
Post-translational protein modification	LRRK2	0.141079259	-0.004734964
Post-translational protein modification	MAPK1	0.108274062	-0.004734964
Post-translational protein modification	MAPK14	0.089782458	-0.004734964
Post-translational protein modification	MAPK8	0.086362231	-0.004734964
Post-translational protein modification	MAPK8IP3	0.067465013	-0.004734964
Post-translational protein modification	MDM2	0.076525298	-0.004734964
Post-translational protein modification	MPZL1	0.061209714	-0.004734964
Post-translational protein modification	MTF2	0.071593986	-0.004734964
Post-translational protein modification	NCOA3	0.159723545	-0.004734964
Post-translational protein modification	NCOR1	0.103790421	-0.004734964
Post-translational protein modification	NEK1	0.054724178	-0.004734964
Post-translational protein modification	NFKB1	0.073622631	-0.004734964
Post-translational protein modification	NR3C1	0.089780684	-0.004734964
Post-translational protein modification	NUP107	0.050754867	-0.004734964
Post-translational protein modification	ORC4	0.057425409	-0.004734964
Post-translational protein modification	OTUB1	0.079561141	-0.004734964
Post-translational protein modification	P4HB	0.051708664	-0.004734964
Post-translational protein modification	PARP1	0.107082213	-0.004734964
Post-translational protein modification	PARP12	0.041167143	-0.004734964
Post-translational protein modification	PCGF5	0.098325663	-0.004734964
Post-translational protein modification	PIAS1	0.123675405	-0.004734964
Post-translational protein modification	PIN1	0.052179795	-0.004734964
Post-translational protein modification	PLAGL1	0.07930342	-0.004734964
Post-translational protein modification	PML	0.07504254	-0.004734964
Post-translational protein modification	RAB13	0.115791672	-0.004734964
Post-translational protein modification	RAB1A	0.077400454	-0.004734964
Post-translational protein modification	RAB27A	0.054850865	-0.004734964
Post-translational protein modification	RAB31	0.087774589	-0.004734964
Post-translational protein modification	RAB4A	0.065843507	-0.004734964
Post-translational protein modification	RAB5A	0.056770182	-0.004734964
Post-translational protein modification	RAB8B	0.113306625	-0.004734964
Post-translational protein modification	RABEP1	0.100501816	-0.004734964
Post-translational protein modification	RAD23B	0.112530252	-0.004734964
Post-translational protein modification	RAN	0.088933028	-0.004734964
Post-translational protein modification	RANBP1	0.087780125	-0.004734964
Post-translational protein modification	RANBP2	0.070204607	-0.004734964
Post-translational protein modification	RB1	0.083564154	-0.004734964
Post-translational protein modification	RBM17	0.107693252	-0.004734964
Post-translational protein modification	RBM25	0.094763312	-0.004734964
Post-translational protein modification	RBM39	0.075646111	-0.004734964
Post-translational protein modification	RBX1	0.112276462	-0.004734964
Post-translational protein modification	RNF4	0.088582239	-0.004734964
Post-translational protein modification	RNF7	0.093070989	-0.004734964
Post-translational protein modification	RNFT1	0.054496138	-0.004734964
Post-translational protein modification	SAMHD1	0.012599704	-0.004734964
Post-translational protein modification	SEC24B	0.061173233	-0.004734964
Post-translational protein modification	SETX	0.073079184	-0.004734964
Post-translational protein modification	SF1	0.054422245	-0.004734964
Post-translational protein modification	SKP1	0.094798191	-0.004734964
Post-translational protein modification	SLC25A13	0.056580047	-0.004734964
Post-translational protein modification	SMAD3	0.051649177	-0.004734964
Post-translational protein modification	SMAD4	0.061506982	-0.004734964
Post-translational protein modification	SMC5	0.074744084	-0.004734964
Post-translational protein modification	SMC6	0.15249467	-0.004734964
Post-translational protein modification	SOX4	0.169694044	-0.004734964
Post-translational protein modification	SPTAN1	0.109336174	-0.004734964
Post-translational protein modification	SPTBN1	0.113900973	-0.004734964
Post-translational protein modification	STAT1	0.065797198	-0.004734964
Post-translational protein modification	SUMO1	0.105948438	-0.004734964
Post-translational protein modification	SUMO2	0.098055362	-0.004734964
Post-translational protein modification	TCERG1	0.063380992	-0.004734964
Post-translational protein modification	TDG	0.062430565	-0.004734964
Post-translational protein modification	TMBIM6	0.095288334	-0.004734964
Post-translational protein modification	TMED10	0.052524008	-0.004734964
Post-translational protein modification	TNFAIP8	0.113792178	-0.004734964
Post-translational protein modification	TOP1	0.06910476	-0.004734964
Post-translational protein modification	TOP2A	0.070716138	-0.004734964
Post-translational protein modification	TOP2B	0.104650389	-0.004734964
Post-translational protein modification	TOPORS	0.052336464	-0.004734964
Post-translational protein modification	TRAPPC8	0.050401389	-0.004734964
Post-translational protein modification	TRIM21	0.028711213	-0.004734964
Post-translational protein modification	TRIM5	0.058494854	-0.004734964
Post-translational protein modification	UBB	0.090196493	-0.004734964
Post-translational protein modification	UBC	0.087137658	-0.004734964
Post-translational protein modification	UBE2A	0.10275819	-0.004734964
Post-translational protein modification	UBE2D3	0.089837953	-0.004734964
Post-translational protein modification	UBE2E1	0.119960826	-0.004734964
Post-translational protein modification	UBE2G1	0.07139078	-0.004734964
Post-translational protein modification	UBE2I	0.098068785	-0.004734964
Post-translational protein modification	UBE2K	0.094811874	-0.004734964
Post-translational protein modification	UBE2L3	0.066847944	-0.004734964
Post-translational protein modification	UBE2L6	0.072798693	-0.004734964
Post-translational protein modification	UBE2N	0.084492389	-0.004734964
Post-translational protein modification	UBE2R2	0.098859156	-0.004734964
Post-translational protein modification	UBE2V1	0.066432222	-0.004734964
Post-translational protein modification	UBE3A	0.110606088	-0.004734964
Post-translational protein modification	UBR1	0.06954139	-0.004734964
Post-translational protein modification	UBR5	0.090441403	-0.004734964
Post-translational protein modification	UBXN1	0.118662817	-0.004734964
Post-translational protein modification	UIMC1	0.060679085	-0.004734964
Post-translational protein modification	USP1	0.068767376	-0.004734964
Post-translational protein modification	USP24	0.073506718	-0.004734964
Post-translational protein modification	USP33	0.058189966	-0.004734964
Post-translational protein modification	VIRMA	0.065993804	-0.004734964
Post-translational protein modification	XPO1	0.072033128	-0.004734964
Post-translational protein modification	ZMIZ1	0.081898847	-0.004734964
